2.9007	0.37333	0.0053	-0.0355
3.0033	0.40667	0.0003	-0.035633
4.0333	0.43667	0.011833	-0.036933
4.5	0.52333	0.011933	-0.039633
5.5	0.60333	0.013467	-0.038667
6.4	0.69	0.0151	-0.037933
7.3	0.75667	0.0173	-0.039633
8.3333	0.81333	0.022967	-0.036467
9.2667	0.85333	0.028333	-0.037533
10.367	0.84333	0.0378	-0.033867
10.867	0.88	0.041633	-0.039067
11.6	0.89333	0.0466	-0.038733
12.067	0.89667	0.0489	-0.0398
12.6	0.91333	0.060833	-0.041033
12.87	0.87667	0.059867	-0.034167
12.934	0.88667	0.059367	-0.034167
13.003	0.89333	0.061367	-0.0337
13.007	0.88	0.058367	-0.031133
12.937	0.89333	0.061067	-0.036667
12.633	0.86667	0.0541	-0.0304
12.4	0.84	0.052667	-0.03
11.4	0.82333	0.043367	-0.031433
10.667	0.78333	0.039667	-0.0275
9.7667	0.76667	0.032033	-0.029667
8.9667	0.71667	0.028133	-0.031833
7.8	0.65667	0.015833	-0.0209
7.0333	0.63333	0.015433	-0.025667
5.8667	0.60667	0.0087333	-0.0279
5.3667	0.55667	0.0086	-0.0314
4.4667	0.51	0.007	-0.034733
3.9367	0.45333	0.0052333	-0.0309
3.6	0.41667	0.0075	-0.034267
3.1683	0.38667	0.0056	-0.034767
3.0007	0.37333	0.0067667	-0.032867
2.9017	0.37	0.0062	-0.036767
2.8673	0.36667	0.0067333	-0.0351
2.9017	0.37	0.0068333	-0.033667
