3.5667	0.33667	0.0069	-0.019167
2.9	0.30333	0.0065333	-0.0231
2.667	0.32	0.0084333	-0.031233
2.6333	0.32667	0.0092667	-0.037367
2.7337	0.32667	0.0101	-0.034767
2.9003	0.34333	0.0099333	-0.036533
3.5667	0.47	0.012667	-0.0509
5.7	0.61	0.0249	-0.0516
7.3	0.77333	0.032267	-0.053567
9.4667	0.97667	0.052133	-0.0618
11.567	1.1533	0.066967	-0.066133
13.7	1.34	0.10407	-0.090433
15.667	1.4133	0.13363	-0.10143
17.433	1.43	0.1726	-0.11543
19.167	1.41	0.24113	-0.13243
20.6	1.4667	0.45677	-0.17467
21.5	1.4367	0.66553	-0.3555
22.567	0.74667	0.43577	-0.16957
23.467	0.96	0.41153	-0.13587
23.501	1.3567	0.57007	-0.19983
23.469	1.2033	0.52997	-0.20293
23.433	1.0667	0.48567	-0.18947
23.033	0.88667	0.42557	-0.1603
21.667	0.70333	0.32833	-0.10773
19.867	0.62667	0.2346	-0.081067
18.3	0.62667	0.16837	-0.0515
16.167	0.58	0.1247	-0.0336
14.033	0.53	0.088367	-0.026233
12.167	0.5	0.044733	0.0031333
9.9667	0.47667	0.025067	0.0069333
8.1333	0.45667	0.018933	-0.0004
6.4333	0.39667	0.0092667	0.0014333
4.8333	0.35333	0.0071333	-0.0042667
