8.2037	0.75	0.024367	-0.033767
8.2003	0.78	0.0282	-0.044667
8.402	0.76667	0.023933	-0.031567
8.5683	0.81333	0.026767	-0.041067
10.1	0.89	0.040067	-0.0449
11.633	0.92	0.049733	-0.038967
13.267	0.99333	0.069067	-0.048267
15.3	0.98	0.10327	-0.058367
17.1	0.94333	0.1989	-0.1055
18.9	1.1133	0.3395	-0.17283
20.767	1.1433	0.408	-0.20003
22.533	0.98333	0.45187	-0.19057
24.4	0.99	0.49347	-0.1795
25.733	0.89667	0.51163	-0.17523
26.9	0.91333	0.55273	-0.18243
27.833	0.93	0.58557	-0.1938
28.567	0.96667	0.61693	-0.19643
28.934	0.95	0.62037	-0.1935
28.902	0.94333	0.62307	-0.19727
28.902	0.97333	0.6158	-0.18897
28.967	0.99333	0.6201	-0.18493
28.333	0.95	0.60393	-0.18977
26.8	0.88667	0.5208	-0.15947
25.467	0.84333	0.46323	-0.14833
23.9	0.76333	0.38027	-0.12073
21.767	0.75333	0.30767	-0.10427
19.9	0.77333	0.26023	-0.10497
17.933	0.69667	0.20223	-0.086733
15.967	0.66	0.13037	-0.051867
14.267	0.72	0.074967	-0.023833
12.633	0.77	0.055933	-0.019433
11.267	0.78667	0.0468	-0.023
9.9333	0.75333	0.034667	-0.023433
9.0333	0.74333	0.0277	-0.0245
8.535	0.75333	0.0258	-0.0311
